image_file,model_key,equipment_type,equipment_examples
equipment-images/bomag-bmp8500-trench-roller.jpg,bomag-bmp8500-trench-roller,Trench Roller,Bomag BMP8500 Trench Roller #1006
equipment-images/cat-275-skid-steer.jpg,cat-275-skid-steer,Skid Steer,Cat 275 Skid Steer #2577
equipment-images/cat-299-skid-steer.jpg,cat-299-skid-steer,Skid Steer,Cat 299DXE Skidsteer #5154
equipment-images/cat-302-7-mini-excavator.jpg,cat-302-7-mini-excavator,Mini Excavator,Cat 302.7 Mini x #0317
equipment-images/cat-303-5-mini-excavator.jpg,cat-303-5-mini-excavator,Mini Excavator,Cat 303.5 Mini x #0479
equipment-images/cat-304-mini-excavator.jpg,cat-304-mini-excavator,Mini Excavator,2025 Cat 304 #5382 | 2025 Cat 304 #6014 | 2025 Cat 304 #6570
equipment-images/cat-308-mini-excavator.jpg,cat-308-mini-excavator,Mini Excavator,Cat 308 Mini x #0423
equipment-images/cat-315-excavator.jpg,cat-315-excavator,Small Excavator,Cat 315 Trackhoe #1778
equipment-images/cat-316f-excavator.jpg,cat-316f-excavator,Small Excavator,Cat 316F Trackhoe #0141
equipment-images/cat-320-excavator.jpg,cat-320-excavator,Medium Excavator,2026 Cat 320 #1829 | Cat 320 Trackhoe #0485
equipment-images/cat-336e-excavator.jpg,cat-336e-excavator,Large Excavator,Cat 336E Trackhoe #1141 | Cat 336E Trackhoe #1251
equipment-images/cat-336f-excavator.jpg,cat-336f-excavator,Large Excavator,Cat 336F Trackhoe #0422
equipment-images/cat-415-backhoe.jpg,cat-415-backhoe,Backhoe,Cat 415 Backhoe #0332
equipment-images/cat-730-articulated-truck.jpg,cat-730-articulated-truck,Articulated Truck,2020 Cat 730 #1320 | 2020 Cat 730 #1330
equipment-images/cat-745-articulated-truck.jpg,cat-745-articulated-truck,Articulated Truck,2020 Cat 745 Art Truck with Scraper #0013/#2228
equipment-images/cat-920-loader.jpg,cat-920-loader,Loader,Cat 920 Loader #1227
equipment-images/cat-cs11-roller.jpg,cat-cs11-roller,Roller,2025 Cat CS11 Roller #0433
equipment-images/cat-cs56b-roller.jpg,cat-cs56b-roller,Roller,2015 Cat CS56B Roller #0940
equipment-images/cat-d3-dozer.jpg,cat-d3-dozer,Small Dozer,2025 Cat D3 #6577 | Cat D3 Dozer #5681 | Cat D3 Dozer #Y376
equipment-images/cat-d5-dozer.jpg,cat-d5-dozer,Medium Dozer,2026 Cat D5 LDP #0606
equipment-images/cat-d6-dozer.jpg,cat-d6-dozer,Medium Dozer,Cat D6 Dozer #1060
equipment-images/cat-d8-dozer.jpg,cat-d8-dozer,Large Dozer,Cat D8 Dozer #0250
equipment-images/dynapac-ca250-roller.jpg,dynapac-ca250-roller,Roller,"Dynapac 84"" CA 250 Padfoot Roller #5758"
equipment-images/dynapac-ca350-roller.jpg,dynapac-ca350-roller,Roller,"Dynapac 84"" CA 350 Smooth Drum Roller #7749"
equipment-images/ford-water-truck.jpg,ford-water-truck,Water Truck,2012 Ford Water Truck #8342 | 2012 Ford Water Truck #9503 | 2019 Ford Water Truck #9958
equipment-images/hamm-3307p-roller.jpg,hamm-3307p-roller,Roller,"Hamm 3307P 66"" Pad Foot Roller #1207 or #3593"
equipment-images/hamm-84-padfoot-roller.jpg,hamm-84-padfoot-roller,Roller,"Hamm 84"" Padfoot Roller #2751"
equipment-images/hamm-h10i-roller.jpg,hamm-h10i-roller,Roller,"Hamm H10i 84"" Shell Kit #0477"
equipment-images/hamm-htc15-trench-roller.jpg,hamm-htc15-trench-roller,Trench Roller,Hamm HTC15 Trench Roller #0475
equipment-images/john-deere-160-excavator.jpg,john-deere-160-excavator,Medium Excavator,JD 160 Trackhoe #6821
equipment-images/john-deere-550k-dozer.jpg,john-deere-550k-dozer,Medium Dozer,JD 550k Dozer #1945
equipment-images/john-deere-650k-dozer.jpg,john-deere-650k-dozer,Medium Dozer,JD 650k Dozer #3586 | JD 650k Dozer #3879
equipment-images/komatsu-210-excavator.jpg,komatsu-210-excavator,Medium Excavator,Komatsu 210 Trackhoe #1179
equipment-images/kubota-m62-backhoe.jpg,kubota-m62-backhoe,Backhoe,Kubota M62 Backhoe #0759
equipment-images/laymor-sweep-master.jpg,laymor-sweep-master,Sweeper,Laymore Sweep Master #3585
equipment-images/lowboy-truck-trailer.jpg,lowboy-truck-trailer,Lowboy Truck and Trailer,Lowboy Truck And Trailer
equipment-images/mini-excavator.jpg,mini-excavator,Mini Excavator,2024 Cat Mini X 308
equipment-images/quad-dump-truck.jpg,quad-dump-truck,Dump Truck,Dump Truck Quad #112 | Dump Truck Quad #235 | Dump Truck Quad #713 | Dump Truck Quad #718
equipment-images/skid-steer.jpg,skid-steer,Skid Steer,2025 Cat Skid Steer #4052
equipment-images/triaxle-dump-truck.jpg,triaxle-dump-truck,Dump Truck,Dump Truck Triaxle #237 | Dump Truck Triaxle #238 | Dump Truck Triaxle #239 | Dump Truck Triaxle #240 | Dump Truck Triaxle #241
equipment-images/wacker-rtkk-sc3-trench-roller.jpg,wacker-rtkk-sc3-trench-roller,Trench Roller,Wacker RTKK-SC3 Trench Roller #6784
